[2021-11-03 15:02:21,136][main][WARN][org.mybatis.spring.mapper.ClassPathMapperScanner:166] No MyBatis mapper was found in '[com.cmcc.noobcloud.networkservice.mapper.secondDataSourse]' package. Please check your configuration.
[2021-11-03 15:02:24,770][main][WARN][com.atomikos.icatch.provider.imp.AssemblerImp:24] Thanks for using Atomikos! Evaluate http://www.atomikos.com/Main/ExtremeTransactions for advanced features and professional support
or register at http://www.atomikos.com/Main/RegisterYourDownload to disable this message and receive FREE tips & advice
[2021-11-03 15:02:26,089][main][WARN][org.springframework.data.convert.CustomConversions:270] Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,092][main][WARN][org.springframework.data.convert.CustomConversions:260] Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,092][main][WARN][org.springframework.data.convert.CustomConversions:270] Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,092][main][WARN][org.springframework.data.convert.CustomConversions:260] Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,092][main][WARN][org.springframework.data.convert.CustomConversions:270] Registering converter from interface org.springframework.data.elasticsearch.core.geo.GeoJson to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,092][main][WARN][org.springframework.data.convert.CustomConversions:260] Registering converter from interface java.util.Map to interface org.springframework.data.elasticsearch.core.geo.GeoJson as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,092][main][WARN][org.springframework.data.convert.CustomConversions:270] Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,092][main][WARN][org.springframework.data.convert.CustomConversions:260] Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,093][main][WARN][org.springframework.data.convert.CustomConversions:270] Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,093][main][WARN][org.springframework.data.convert.CustomConversions:260] Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,093][main][WARN][org.springframework.data.convert.CustomConversions:270] Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonLineString to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,096][main][WARN][org.springframework.data.convert.CustomConversions:260] Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonLineString as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
[2021-11-03 15:02:26,096][main][WARN][org.springframework.data.convert.CustomConversions:270] Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiLineString to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
